time unit: s, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[11], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[10], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[9], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[8], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[7], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[6], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[5], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[4], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[3], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[2], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[1], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[0], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|rx_on, 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, 
37, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
38, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
39, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
40, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
41, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
42, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
43, 101001100111, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
44, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
45, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
46, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
47, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
48, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
49, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
50, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
51, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
52, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
53, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
54, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
55, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
56, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
57, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
58, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
59, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
60, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
61, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
62, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
63, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
64, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
65, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
66, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
67, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
68, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
69, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
70, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
71, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
72, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
73, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
